ID	char	pua	romanized	symbol
SD-A6BA	死	U+1046BA	kṣe	
SD-A6BC	汝	U+1046BC	kṣo	
SD-A6BE	汙	U+1046BE	kṣaṃ	
SD-A6BF	江	U+1046BF	kṣaḥ	
SD-A6C0	池	U+1046C0	kya	
SD-A6C1	汐	U+1046C1	kyā	
SD-A6C2	汕	U+1046C2	kyi	
SD-A6C3	污	U+1046C3	kyī	
SD-A6C4	汛	U+1046C4	kyu	
SD-A6C6	汎	U+1046C6	kye	
SD-A6C7	灰	U+1046C7	kyai	
SD-A6C8	牟	U+1046C8	kyo	
SD-A6C9	牝	U+1046C9	kyau	
SD-A6CA	百	U+1046CA	kyaṃ	
SD-A6CB	竹	U+1046CB	kyaḥ	
SD-A6CC	米	U+1046CC	khya	
SD-A6CD	糸	U+1046CD	khyā	
SD-A6CE	缶	U+1046CE	khyi	
SD-A6D2	考	U+1046D2	khye	
SD-A6D3	而	U+1046D3	khyai	
SD-A6DA	臣	U+1046DA	gyi	
SD-A6DE	舌	U+1046DE	gye	
SD-A6E2	色	U+1046E2	gyaṃ	
SD-A6E4	虫	U+1046E4	ghya	
SD-A6FC	似	U+1046FC	cya	
SD-A6FD	但	U+1046FD	cyā	
SD-A741	你	U+104741	cyu	
SD-A755	助	U+104755	jya	
SD-A759	即	U+104759	jyu	
SD-A75B	吝	U+10475B	jye	
SD-A75D	吞	U+10475D	jyo	
SD-A75F	否	U+10475F	jyaṃ	
SD-A760	呎	U+104760	jyaḥ	
SD-A779	囤	U+104779	ṭya	
SD-A7A1	均	U+1047A1	ṭye	
SD-A7AD	妣	U+1047AD	ṭhye	
SD-A7C9	床	U+1047C9	ḍhyaṃ	
SD-A7CB	弄	U+1047CB	ṇya	
SD-A7D1	忘	U+1047D1	ṇye	
SD-A7D5	忱	U+1047D5	ṇyaṃ	
SD-A7D7	忸	U+1047D7	tya	
SD-A7D8	忪	U+1047D8	tyā	
SD-A7D9	戒	U+1047D9	tyi	
SD-A7DB	抄	U+1047DB	tyu	
SD-A7DD	抖	U+1047DD	tye	
SD-A7DE	技	U+1047DE	tyai	
SD-A7DF	扶	U+1047DF	tyo	
SD-A7E1	扭	U+1047E1	tyaṃ	
SD-A7E3	扼	U+1047E3	thya	
SD-A7E4	找	U+1047E4	thyā	
SD-A7EF	改	U+1047EF	dya	
SD-A7F0	攻	U+1047F0	dyā	
SD-A7F3	更	U+1047F3	dyu	
SD-A7F5	李	U+1047F5	dye	
SD-A7F7	材	U+1047F7	dyo	
SD-A7F9	杜	U+1047F9	dyaṃ	
SD-A7FB	杞	U+1047FB	dhya	
SD-A7FC	杉	U+1047FC	dhyā	
SD-A7FD	杆	U+1047FD	dhyi	
SD-A840	杓	U+104840	dhyu	
SD-A842	步	U+104842	dhye	
SD-A844	求	U+104844	dhyo	
SD-A846	沙	U+104846	dhyaṃ	
SD-A848	沈	U+104848	nya	
SD-A849	沉	U+104849	nyā	
SD-A84C	汪	U+10484C	nyu	
SD-A84E	沐	U+10484E	nye	
SD-A852	沖	U+104852	nyaṃ	
SD-A854	汽	U+104854	pya	
SD-A855	沃	U+104855	pyā	
SD-A85C	沔	U+10485C	pyo	
SD-A861	災	U+104861	phyā	
SD-A86C	甸	U+10486C	bya	
SD-A878	肝	U+104878	bhya	
SD-A879	肘	U+104879	bhyā	
SD-A87A	肛	U+10487A	bhyi	
SD-A87C	育	U+10487C	bhyu	
SD-A87E	芒	U+10487E	bhye	
SD-A8A2	芍	U+1048A2	bhyo	
SD-A8A4	角	U+1048A4	bhyaṃ	
SD-A8A5	言	U+1048A5	bhyaḥ	
SD-A8A6	谷	U+1048A6	mya	
SD-A8A7	豆	U+1048A7	myā	
SD-A8AA	赤	U+1048AA	myu	
SD-A8AC	足	U+1048AC	mye	
SD-A8B0	辰	U+1048B0	myaṃ	
SD-A8B1	迂	U+1048B1	myaḥ	
SD-A8B2	迆	U+1048B2	lya	
SD-A8B3	迅	U+1048B3	lyā	
SD-A8B8	邪	U+1048B8	lye	
SD-A8BC	釆	U+1048BC	lyaṃ	
SD-A8BE	防	U+1048BE	vya	
SD-A8BF	阮	U+1048BF	vyā	
SD-A8C2	阬	U+1048C2	vyu	
SD-A8C4	乖	U+1048C4	vye	
SD-A8C5	乳	U+1048C5	vyai	
SD-A8C6	事	U+1048C6	vyo	
SD-A8C8	亞	U+1048C8	vyaṃ	
SD-A8C9	享	U+1048C9	vyaḥ	
SD-A8CA	京	U+1048CA	śya	
SD-A8CC	依	U+1048CC	śyi	
SD-A8D4	侃	U+1048D4	śyaṃ	
SD-A8D6	併	U+1048D6	ṣya	
SD-A8D7	侈	U+1048D7	ṣyā	
SD-A8DC	侏	U+1048DC	ṣye	
SD-A8DE	佺	U+1048DE	ṣyo	
SD-A8E2	兩	U+1048E2	sya	
SD-A8E3	具	U+1048E3	syā	
SD-A8E4	其	U+1048E4	syi	
SD-A8E6	冽	U+1048E6	syu	
SD-A8E8	刻	U+1048E8	sye	
SD-A8EA	刷	U+1048EA	syo	
SD-A8EC	到	U+1048EC	syaṃ	
SD-A8EE	制	U+1048EE	hya	
SD-A8EF	剁	U+1048EF	hyā	
SD-A8F4	卓	U+1048F4	hye	
SD-A8FA	取	U+1048FA	kṣya	
SD-A947	咒	U+104947	kra	
SD-A948	咆	U+104948	krā	
SD-A949	呼	U+104949	kri	
SD-A94A	咐	U+10494A	krī	
SD-A94B	呱	U+10494B	kru	
SD-A94C	呶	U+10494C	krū	
SD-A94D	和	U+10494D	kre	
SD-A94F	呢	U+10494F	kro	
SD-A950	周	U+104950	krau	
SD-A951	咋	U+104951	kraṃ	
SD-A95F	奇	U+10495F	gra	
SD-A960	奈	U+104960	grā	
SD-A961	奄	U+104961	gri	
SD-A962	奔	U+104962	grī	
SD-A965	委	U+104965	gre	
SD-A967	妮	U+104967	gro	
SD-A969	姆	U+104969	graṃ	
SD-A96B	姍	U+10496B	ghra	
SD-A96E	姊	U+10496E	ghrī	
SD-A970	妳	U+104970	ghrū	
SD-A975	季	U+104975	ghraṃ	
SD-A976	宗	U+104976	ghraḥ	
SD-A977	定	U+104977	ṅra	
SD-A978	官	U+104978	ṅrā	
SD-A9BD	忝	U+1049BD	jra	
SD-A9BE	忠	U+1049BE	jrā	
SD-A9BF	忽	U+1049BF	jri	
